Date,Sigma_dlog_SOLVPN_dlog_SOLVPN,Sigma_dlog_SOLVPN_dlog_COPPER,Sigma_dlog_SOLVPN_dlog_DXY,Sigma_dlog_SOLVPN_d_UST10Y,Sigma_dlog_SOLVPN_dlog_VIX,Sigma_dlog_COPPER_dlog_SOLVPN,Sigma_dlog_COPPER_dlog_COPPER,Sigma_dlog_COPPER_dlog_DXY,Sigma_dlog_COPPER_d_UST10Y,Sigma_dlog_COPPER_dlog_VIX,Sigma_dlog_DXY_dlog_SOLVPN,Sigma_dlog_DXY_dlog_COPPER,Sigma_dlog_DXY_dlog_DXY,Sigma_dlog_DXY_d_UST10Y,Sigma_dlog_DXY_dlog_VIX,Sigma_d_UST10Y_dlog_SOLVPN,Sigma_d_UST10Y_dlog_COPPER,Sigma_d_UST10Y_dlog_DXY,Sigma_d_UST10Y_d_UST10Y,Sigma_d_UST10Y_dlog_VIX,Sigma_dlog_VIX_dlog_SOLVPN,Sigma_dlog_VIX_dlog_COPPER,Sigma_dlog_VIX_dlog_DXY,Sigma_dlog_VIX_d_UST10Y,Sigma_dlog_VIX_dlog_VIX
2021-05-19,0.00012833414502865707,2.4904302208318575e-05,-1.056042305759165e-05,-0.00011305341796985187,-0.0004290488149302847,2.4904302208318575e-05,0.00018420194123566517,-2.3958014805840646e-05,3.558196389484555e-05,-0.0002915677531370295,-1.056042305759165e-05,-2.3958014805840646e-05,1.3102872514982333e-05,1.003431625275685e-05,7.541368619442113e-05,-0.00011305341796985187,3.558196389484555e-05,1.003431625275685e-05,0.0015771885504040472,0.00036793861323356587,-0.0004290488149302847,-0.0002915677531370295,7.541368619442113e-05,0.00036793861323356587,0.007203842941552261
2021-05-20,0.00012887030393594437,2.75325158493215e-05,-1.1384519497076751e-05,-0.00011905102119388171,-0.00042964862436926433,2.75325158493215e-05,0.0001934619380442438,-2.698260339533839e-05,1.0199332918084805e-05,-0.0003058218561802718,-1.1384519497076751e-05,-2.698260339533839e-05,1.5026563690713095e-05,1.8020649391570567e-05,8.020745776546896e-05,-0.00011905102119388171,1.0199332918084805e-05,1.8020649391570567e-05,0.001624418276463491,0.0004067957712677253,-0.00042964862436926433,-0.0003058218561802718,8.020745776546896e-05,0.0004067957712677253,0.007161986940528548
2021-05-21,0.00012915232077846648,2.81110864851437e-05,-1.1605909264254037e-05,-0.00011719028670690054,-0.0004225631153900056,2.81110864851437e-05,0.00019380489467034543,-2.7214346928826698e-05,1.1100111189956272e-05,-0.0002985907765359036,-1.1605909264254037e-05,-2.7214346928826698e-05,1.6073211607046654e-05,1.7446760083007177e-05,7.776714004810606e-05,-0.00011719028670690054,1.1100111189956272e-05,1.7446760083007177e-05,0.0016099611708502164,0.00040600309938328794,-0.0004225631153900056,-0.0002985907765359036,7.776714004810606e-05,0.00040600309938328794,0.007104996608250758
2021-05-24,0.00012916783196018205,2.9234664419610877e-05,-1.1625474191168966e-05,-0.00011675902198664448,-0.00042096618291857107,2.9234664419610877e-05,0.00019929332656881031,-2.756268620579056e-05,7.600674955627268e-06,-0.00030763122061358523,-1.1625474191168966e-05,-2.756268620579056e-05,1.6972387681426335e-05,1.7599449067704455e-05,7.815062418496306e-05,-0.00011675902198664448,7.600674955627268e-06,1.7599449067704455e-05,0.001596648150101142,0.0004082840991902067,-0.00042096618291857107,-0.00030763122061358523,7.815062418496306e-05,0.0004082840991902067,0.007057452449333512
2021-05-25,0.00012938378243701186,2.9075881216488366e-05,-1.1664450142621229e-05,-0.00011849879047426686,-0.0004130831970889196,2.9075881216488366e-05,0.00019833553550332208,-2.7327902467116656e-05,6.759706020834135e-06,-0.0003035884112403673,-1.1664450142621229e-05,-2.7327902467116656e-05,1.7850132680159797e-05,1.8312512312115934e-05,7.624583132984196e-05,-0.00011849879047426686,6.759706020834135e-06,1.8312512312115934e-05,0.0015983330774907007,0.00038316291168751844,-0.0004130831970889196,-0.0003035884112403673,7.624583132984196e-05,0.00038316291168751844,0.007014458980342247
2021-05-26,0.00012912232383087126,2.9125464079033137e-05,-1.1478603809779178e-05,-0.00011692343026290335,-0.0004101949901059547,2.9125464079033137e-05,0.00020092955050735772,-2.632723505925235e-05,1.0795357027140397e-05,-0.0003136139008284693,-1.1478603809779178e-05,-2.632723505925235e-05,1.881953157248509e-05,1.8963702531653146e-05,7.28275978116623e-05,-0.00011692343026290335,1.0795357027140397e-05,1.8963702531653146e-05,0.0015880561771396589,0.00036434987136540976,-0.0004101949901059547,-0.0003136139008284693,7.28275978116623e-05,0.00036434987136540976,0.0069930029063537385
2021-05-27,0.00012887676796700134,2.8102061891901292e-05,-1.1384354741183097e-05,-0.00011675193435399879,-0.00040585829056514274,2.8102061891901292e-05,0.00021165817591849528,-2.5734710326302906e-05,2.6683324523771667e-05,-0.0003142413101927652,-1.1384354741183097e-05,-2.5734710326302906e-05,1.9640571889889952e-05,1.922275613535569e-05,7.199375311514716e-05,-0.00011675193435399879,2.6683324523771667e-05,1.922275613535569e-05,0.0015949741512934106,0.00035557757487495985,-0.00040585829056514274,-0.0003142413101927652,7.199375311514716e-05,0.00035557757487495985,0.0069252795898293185
2021-05-28,0.00012926986052198418,2.7904245334606633e-05,-1.1218923877193132e-05,-0.00011881795163893406,-0.00040283647697307616,2.7904245334606633e-05,0.00021055174714304357,-2.547106827570395e-05,2.6021918656129534e-05,-0.00031122540896742713,-1.1218923877193132e-05,-2.547106827570395e-05,2.044806909874147e-05,1.8785889762054014e-05,7.119537700658602e-05,-0.00011881795163893406,2.6021918656129534e-05,1.8785889762054014e-05,0.001595358577394774,0.0003569383954906581,-0.00040283647697307616,-0.00031122540896742713,7.119537700658602e-05,0.0003569383954906581,0.006858603202929474
2021-06-01,0.0001293359483407219,2.7626578832291884e-05,-1.1280429347872532e-05,-0.0001163704441534704,-0.000393185412016549,2.7626578832291884e-05,0.00020944623494840487,-2.5217023714624447e-05,2.5766529010214463e-05,-0.0003080915917426836,-1.1280429347872532e-05,-2.5217023714624447e-05,2.1327677018907726e-05,1.7988368427155247e-05,6.776137688787376e-05,-0.0001163704441534704,2.5766529010214463e-05,1.7988368427155247e-05,0.0015848251893423556,0.0003731044951943801,-0.000393185412016549,-0.0003080915917426836,6.776137688787376e-05,0.0003731044951943801,0.006879132983761428
2021-06-02,0.00012982503463618462,2.691956634384582e-05,-1.1178729296582975e-05,-0.00011602493005479187,-0.0003900245839532763,2.691956634384582e-05,0.000208588904326994,-2.4958740445994717e-05,2.5959288273193714e-05,-0.00030458621583239284,-1.1178729296582975e-05,-2.4958740445994717e-05,2.2114557836883767e-05,1.7820096261495288e-05,6.709470529582198e-05,-0.00011602493005479187,2.5959288273193714e-05,1.7820096261495288e-05,0.001570832505278961,0.000370179699174792,-0.0003900245839532763,-0.00030458621583239284,6.709470529582198e-05,0.000370179699174792,0.006812101426928489
