t,dlog_SOLVPN_to_dlog_COPPER,dlog_SOLVPN_to_dlog_GOLD,dlog_SOLVPN_to_dlog_SILVER,dlog_SOLVPN_to_dlog_DXY,dlog_SOLVPN_to_dlog_OIL,dlog_SOLVPN_to_dlog_GAS,dlog_SOLVPN_to_d_UST10Y,dlog_SOLVPN_to_d_VIX
0,2.649028727115471,2.0635904061021235,2.586635498205199,5.1027278555097215,1.5147567270795694,1.2322118879423947,5.343561154387382,18.823761431296244
1,4.777695955796104,2.2057158402294017,2.189210122330641,5.523168655060582,1.7224331781849171,1.9717557812461564,5.371165930892518,18.89093174890779
2,12.96329412168878,2.6242238613820787,5.837032154150565,4.078953247443336,2.8278016565584028,18.896497518592117,10.185169216081718,25.649173249847042
3,30.603641904656666,4.389432809835795,18.05761494949504,18.789187836918366,17.831156069893293,32.29063398811686,15.188102755888044,24.07866762745225
4,29.367464754854833,12.948460494291655,21.79065716950211,26.846560445380955,18.895213419444893,30.39970679628662,21.548328034121113,24.94702403236522
5,28.54089206649803,14.13760238226794,22.496346014558355,25.287308019662042,15.736936135351492,37.73159965349497,32.837332471469594,28.653243937072197
6,12.695329365308444,3.8375016441829684,11.392791390644074,16.674372081648134,1.584893314858028,9.147526319583681,7.280386668433464,11.957638803931598
7,12.178887925343412,9.711904060387985,11.642810920475409,13.056595240152602,5.633395555207333,27.854385564221168,10.023306396637235,17.131786573614814
8,4.9100545290718935,5.8770294324293575,4.369451970334288,6.471726919291687,4.762175006599426,9.076971096213654,5.947599437310234,6.667749490926847
9,2.4646428554852142,2.6347704601007607,4.511593853927141,3.6700815854054945,5.975323043921059,8.370166532404424,2.2471501600432977,7.456749732183921
10,4.035897477171875,3.674552311590394,5.589353605727685,6.128454833665031,7.591392455130763,12.529812291597702,3.24781997529557,7.2281598673359895
11,5.029296761927625,5.777669425651188,7.322626863363099,9.070061308506977,7.0617108649342235,10.846284246660113,5.627893690653365,9.251073507325373
12,2.8893452495384877,2.5946639278484125,4.2650140411092625,4.629750150216143,8.602194064363957,10.631943324317575,1.6099937410625234,14.52447035200198
13,10.781827625487011,10.51316739940582,14.01337129984433,19.864977269954316,11.5537712078365,6.840860732432287,15.650605236969744,17.705045422541065
14,4.089710946007596,2.136011191038135,6.98820722274954,12.367475437468608,3.848704546695563,4.262369203240935,3.288245310005072,10.830966570784714
15,9.673917282421447,14.52987272844522,12.653853508534771,18.589080455786025,20.929526168292288,16.079078557954542,13.580710630740903,18.312736424724545
16,5.882806644524455,12.197390570096033,9.795814690073566,13.717198076344909,9.799465664974258,4.815869937753446,12.874757980729015,12.197076544732534
17,4.908727830843981,10.159112399379287,7.012367282318219,11.029491795375835,7.38380525591416,2.732388840709347,13.063131856195223,11.004243118735731
18,5.829968921933492,12.262446645471865,8.313898339174978,11.510839235781205,9.066667641891549,4.163678144493973,14.878355918944628,11.137695357016538
19,6.7523739941331815,12.726410598447197,8.77799830100005,12.400911856752959,8.948715527784842,4.007799886182166,12.008065080041128,14.341842077284936
20,6.340812428263559,12.736252600743914,8.7698313718761,12.62923596844142,8.876215013948347,2.107113677169313,11.869975726887324,14.147406083529276
21,6.244040545433502,12.847933256184321,8.91495528233918,12.574930514701224,9.121041016762998,2.052365116908952,11.822143837085044,14.09882600323126
22,5.970327093736465,13.512053366109079,9.20849159547679,12.68672545291313,9.908017687609604,2.5107089369846634,12.778573905626908,13.970371814565219
23,4.139217471775777,12.472407064092286,9.659048120524806,10.75133310224414,7.916055430955965,2.6470416029877586,10.325758816991803,14.542821647480952
24,3.6383804519411207,14.049614959527329,9.901911517549474,11.14287102516411,7.670444561532347,1.4300125717507814,13.90285115961153,13.564620773128636
25,4.012669868855946,13.59448081914583,8.258955687149836,11.406893208155845,6.6901248626188545,2.1752931156714435,14.647851900877942,13.642169001330151
26,3.208079635441968,9.974009086861365,5.316763852203291,8.26051973347862,6.326031259987695,2.7496626693657467,12.82905247654541,13.611760449330983
27,3.571339433918895,14.25061685876335,7.989206299851549,12.422455949707896,6.504919210885722,1.301618162565588,13.292640039844835,15.002154077462423
28,3.271304505832439,12.08175241860306,6.025332576615153,7.371400014235986,6.948561046601455,3.8095627359433197,13.195461033398907,15.945027095635073
29,3.3830711139833727,12.708080384352638,8.596788104343881,7.737161051869175,7.359947367618582,4.8503224595601555,13.578653251687806,17.24810130060672
30,3.2729927803795666,12.362936421937627,8.291459603645224,7.7230475913487195,7.296784860636585,4.9932361129464,13.157765374540531,16.850470110690775
31,2.3802014325397782,12.960541324247815,8.108381326493877,7.370871159517287,7.3628578897346015,6.0265207288675775,14.048408193866976,17.176971872020378
32,9.1198228101962,14.729387282329256,11.388056286522104,10.84443472005293,9.872444800858261,4.350218737353373,18.449482293878567,17.640286213762334
33,7.399087018547172,12.892629919038384,9.526438648053432,9.835833739415541,9.465662160209638,3.3961395034580786,18.38896877877708,16.28631157095787
34,7.38942183806261,12.026384937233702,7.859478755480439,9.570995594228556,9.474522550969267,4.557695046499733,17.965287359370993,16.357935327675033
35,5.627416766542913,12.347701723789562,9.145422296293464,8.658874535217391,8.982549856468566,5.522814279013908,17.935565061388285,16.488067351624387
36,5.292854813717769,12.652666670130927,9.962460537952204,7.7261100648109355,8.204769212465095,4.8140377545727215,17.32370657290924,16.183135824159283
37,11.015341086629315,12.758910519801821,10.365024886460471,9.578784563458663,13.229169459340351,5.097540022152241,16.802535886427883,16.04893819992319
38,7.668091448792926,12.103423014290584,10.042749876896115,8.114593570435193,10.088789285466454,2.388021182175086,16.749779408679245,16.492226085610067
39,6.948169949511393,12.578982377545229,12.14142601455037,8.756871271047062,7.922714690132955,0.6395747971990436,18.038416500814584,14.740594126030956
40,5.791303522544579,11.866230641012198,9.63530751545158,7.696356959359628,7.278212494032559,4.105815519892561,18.02836290178,15.086510370465195
