t,dlog_SOLVPN_to_dlog_COPPER,dlog_SOLVPN_to_dlog_GOLD,dlog_SOLVPN_to_dlog_SILVER,dlog_SOLVPN_to_dlog_DXY,dlog_SOLVPN_to_dlog_OIL,dlog_SOLVPN_to_dlog_GAS,dlog_SOLVPN_to_d_UST10Y,dlog_SOLVPN_to_d_VIX,dlog_COPPER_to_dlog_SOLVPN,dlog_COPPER_to_dlog_GOLD,dlog_COPPER_to_dlog_SILVER,dlog_COPPER_to_dlog_DXY,dlog_COPPER_to_dlog_OIL,dlog_COPPER_to_dlog_GAS,dlog_COPPER_to_d_UST10Y,dlog_COPPER_to_d_VIX,dlog_GOLD_to_dlog_SOLVPN,dlog_GOLD_to_dlog_COPPER,dlog_GOLD_to_dlog_SILVER,dlog_GOLD_to_dlog_DXY,dlog_GOLD_to_dlog_OIL,dlog_GOLD_to_dlog_GAS,dlog_GOLD_to_d_UST10Y,dlog_GOLD_to_d_VIX,dlog_SILVER_to_dlog_SOLVPN,dlog_SILVER_to_dlog_COPPER,dlog_SILVER_to_dlog_GOLD,dlog_SILVER_to_dlog_DXY,dlog_SILVER_to_dlog_OIL,dlog_SILVER_to_dlog_GAS,dlog_SILVER_to_d_UST10Y,dlog_SILVER_to_d_VIX,dlog_DXY_to_dlog_SOLVPN,dlog_DXY_to_dlog_COPPER,dlog_DXY_to_dlog_GOLD,dlog_DXY_to_dlog_SILVER,dlog_DXY_to_dlog_OIL,dlog_DXY_to_dlog_GAS,dlog_DXY_to_d_UST10Y,dlog_DXY_to_d_VIX,dlog_OIL_to_dlog_SOLVPN,dlog_OIL_to_dlog_COPPER,dlog_OIL_to_dlog_GOLD,dlog_OIL_to_dlog_SILVER,dlog_OIL_to_dlog_DXY,dlog_OIL_to_dlog_GAS,dlog_OIL_to_d_UST10Y,dlog_OIL_to_d_VIX,dlog_GAS_to_dlog_SOLVPN,dlog_GAS_to_dlog_COPPER,dlog_GAS_to_dlog_GOLD,dlog_GAS_to_dlog_SILVER,dlog_GAS_to_dlog_DXY,dlog_GAS_to_dlog_OIL,dlog_GAS_to_d_UST10Y,dlog_GAS_to_d_VIX,d_UST10Y_to_dlog_SOLVPN,d_UST10Y_to_dlog_COPPER,d_UST10Y_to_dlog_GOLD,d_UST10Y_to_dlog_SILVER,d_UST10Y_to_dlog_DXY,d_UST10Y_to_dlog_OIL,d_UST10Y_to_dlog_GAS,d_UST10Y_to_d_VIX,d_VIX_to_dlog_SOLVPN,d_VIX_to_dlog_COPPER,d_VIX_to_dlog_GOLD,d_VIX_to_dlog_SILVER,d_VIX_to_dlog_DXY,d_VIX_to_dlog_OIL,d_VIX_to_dlog_GAS,d_VIX_to_d_UST10Y
0,-1.2074204248482991,-4.949164263662395,-5.699157014294194,-1.9314808425020145,1.390959998450868,0.7905639273688362,1.4577277922600982,4.692694690130162,1.2074204248482991,-0.9634962694019524,-1.1812243045067836,-0.31025421386487206,1.881023013068206,1.043105826848933,0.012479345459340763,0.29846676830176566,4.949164263662395,0.9634962694019524,0.060830407626262684,1.3661785303867813,5.227537499129955,3.344895973939563,1.462600680439094,0.024370394783362503,5.699157014294194,1.1812243045067836,-0.060830407626262684,1.122638190930771,6.284806723992988,3.5060775162220135,0.4387617994465578,0.3604949746445616,1.9314808425020145,0.31025421386487206,-1.3661785303867813,-1.122638190930771,2.6755116082134034,1.6267798213603584,1.718916857019825,0.1384275406056369,-1.390959998450868,-1.881023013068206,-5.227537499129955,-6.284806723992988,-2.6755116082134034,-0.18831302337885727,-0.13429968632178224,-0.5996082936418852,-0.7905639273688362,-1.043105826848933,-3.344895973939563,-3.5060775162220135,-1.6267798213603584,0.18831302337885727,-0.140135467745987,-0.38579136535293596,-1.4577277922600982,-0.012479345459340763,-1.462600680439094,-0.4387617994465578,-1.718916857019825,0.13429968632178224,0.140135467745987,0.0010286668966055929,-4.692694690130162,-0.29846676830176566,-0.024370394783362503,-0.3604949746445616,-0.1384275406056369,0.5996082936418852,0.38579136535293596,-0.0010286668966055929
1,1.3599524469114916,-3.970408037488712,-5.362604973750601,-1.0592712683467154,1.4859741502977792,1.373256024748615,1.3923981573275634,4.255330122099581,-1.3599524469114916,-4.44022638441567,-4.074741654150518,0.2868926103771292,-0.8555142518630836,2.8145423890014394,0.0966927679540015,-0.03896141499849115,3.970408037488712,4.44022638441567,1.0165739224813066,9.62625782434491,5.034785014317463,15.665219182402362,1.9353385280892188,0.7866422251056318,5.362604973750601,4.074741654150518,-1.0165739224813066,9.563194496334432,5.414947969056663,15.61017432815669,1.1212004795296409,1.3363935937571556,1.0592712683467154,-0.2868926103771292,-9.62625782434491,-9.563194496334432,-3.835285089787201,4.347579556363369,4.686360145230196,0.26196147716175977,-1.4859741502977792,0.8555142518630836,-5.034785014317463,-5.414947969056663,3.835285089787201,5.845562724347878,0.13804520254862096,0.22957308892226314,-1.373256024748615,-2.8145423890014394,-15.665219182402362,-15.61017432815669,-4.347579556363369,-5.845562724347878,-0.09757081442637189,0.1351886555865075,-1.3923981573275634,-0.0966927679540015,-1.9353385280892188,-1.1212004795296409,-4.686360145230196,-0.13804520254862096,0.09757081442637189,-0.003722901346718391,-4.255330122099581,0.03896141499849115,-0.7866422251056318,-1.3363935937571556,-0.26196147716175977,-0.22957308892226314,-0.1351886555865075,0.003722901346718391
2,10.523468228783507,-4.7220666445284,-2.4800007522193894,-5.894540574795909,1.1430004869467274,18.024236397621003,5.851094928241576,11.85643374653816,-10.523468228783507,-0.8098164649299253,-1.359887031763063,-0.6373927586861541,-3.255210429500824,5.417206361065349,-0.38614151486738724,-2.0254111170074447,4.7220666445284,0.8098164649299253,-1.246256171124287,10.324877737903783,4.889701421176852,6.2325232714861185,1.089582741239508,1.8904270065604736,2.4800007522193894,1.359887031763063,1.246256171124287,6.189135292814306,2.85473495845374,3.2806450477127216,-0.41289797028504704,0.2989404054774272,5.894540574795909,0.6373927586861541,-10.324877737903783,-6.189135292814306,-3.1379172853646544,1.5172048408969374,5.023444244411413,6.815384031207121,-1.1430004869467274,3.255210429500824,-4.889701421176852,-2.85473495845374,3.1379172853646544,11.2307659004428,2.6447245141250093,8.085107976741437,-18.024236397621003,-5.417206361065349,-6.2325232714861185,-3.2806450477127216,-1.5172048408969374,-11.2307659004428,-2.2106438178827377,-5.176058491761344,-5.851094928241576,0.38614151486738724,-1.089582741239508,0.41289797028504704,-5.023444244411413,-2.6447245141250093,2.2106438178827377,0.8505889059227707,-11.85643374653816,2.0254111170074447,-1.8904270065604736,-0.2989404054774272,-6.815384031207121,-8.085107976741437,5.176058491761344,-0.8505889059227707
3,27.926409925717625,-2.9788981412069697,10.471332644522164,10.618606187949096,15.7712371120053,31.174502678101312,10.754339193069004,8.878540396483789,-27.926409925717625,3.0316752095095563,2.6287726791462553,-0.3371940035836074,-4.869864653665751,-0.2424750099069528,-3.8952742908200255,-20.989581232664165,2.9788981412069697,-3.0316752095095563,-7.364493049606869,2.5657743888127076,5.359374559826433,1.9650460677765866,0.33749518142326096,1.3900580973054955,-10.471332644522164,-2.6287726791462553,7.364493049606869,0.3893005321614327,-2.7515046352121058,-1.766920815561348,-2.4109531698374527,-10.905859809831957,-10.618606187949096,0.3371940035836074,-2.5657743888127076,-0.3893005321614327,-6.566710726706452,-1.4552936899738782,2.4701313807395424,-10.865187036680783,-15.7712371120053,4.869864653665751,-5.359374559826433,2.7515046352121058,6.566710726706452,7.9363712388349,1.552818225870913,-11.396115857479906,-31.174502678101312,0.2424750099069528,-1.9650460677765866,1.766920815561348,1.4552936899738782,-7.9363712388349,-4.350168995011728,-21.790889682540733,-10.754339193069004,3.8952742908200255,-0.33749518142326096,2.4109531698374527,-2.4701313807395424,-1.552818225870913,4.350168995011728,-4.659720841263337,-8.878540396483789,20.989581232664165,-1.3900580973054955,10.905859809831957,10.865187036680783,11.396115857479906,21.790889682540733,4.659720841263337
4,25.37732541786044,8.741614271729311,16.892750990810818,16.036505029696144,16.338691495691457,24.6383725459384,17.07376234485556,5.854498660376233,-25.37732541786044,4.582908096953778,1.9339079070935727,-10.12026305212293,6.564848125176099,-1.128611612340988,-0.7969549105495304,-18.855674110298455,-8.741614271729311,-4.582908096953778,-3.5623521534405747,-6.181465298435759,1.1572879474563011,-1.3323717044448122,-0.87230192035131,-10.061160185093266,-16.892750990810818,-1.9339079070935727,3.5623521534405747,-9.027628245244392,1.5759062018727623,-3.5013737515360064,-2.000153997147572,-14.002601910986193,-16.036505029696144,10.12026305212293,6.181465298435759,9.027628245244392,6.781027142400285,4.729367271535537,6.37293626545571,-7.822055291684489,-16.338691495691457,-6.564848125176099,-1.1572879474563011,-1.5759062018727623,-6.781027142400285,-0.27082082764759363,1.1835046280046422,-19.65917578180372,-24.6383725459384,1.128611612340988,1.3323717044448122,3.5013737515360064,-4.729367271535537,0.27082082764759363,-0.5825247605348212,-16.985038116084272,-17.07376234485556,0.7969549105495304,0.87230192035131,2.000153997147572,-6.37293626545571,-1.1835046280046422,0.5825247605348212,-12.416077748825279,-5.854498660376233,18.855674110298455,10.061160185093266,14.002601910986193,7.822055291684489,19.65917578180372,16.985038116084272,12.416077748825279
5,23.37461223930855,8.503046813610023,12.377152228810065,13.637186315230448,12.191641123909976,33.13306702867935,27.87035542261073,10.287726972151269,-23.37461223930855,5.837893194693883,-3.2794854032647267,-10.840309467918015,7.53162722560881,1.040480672401387,-1.404565807757293,-16.220520535258462,-8.503046813610023,-5.837893194693883,-2.8252127146961596,-9.88333113816612,-3.2533986569716937,1.4438178377137247,1.1725829594277126,-15.735029316388934,-12.377152228810065,3.2794854032647267,2.8252127146961596,-9.715840363194662,4.581852366229972,3.704640758181723,1.416065328985046,-6.4240807915262135,-13.637186315230448,10.840309467918015,9.88333113816612,9.715840363194662,9.361102477806856,2.8130459359381526,2.9748682789027656,7.535171277968939,-12.191641123909976,-7.53162722560881,3.2533986569716937,-4.581852366229972,-9.361102477806856,0.9502288774579304,-0.01353183488618237,-20.47717989852326,-33.13306702867935,-1.040480672401387,-1.4438178377137247,-3.704640758181723,-2.8130459359381526,-0.9502288774579304,-1.7973570474107978,-15.281133515844925,-27.87035542261073,1.404565807757293,-1.1725829594277126,-1.416065328985046,-2.9748682789027656,0.01353183488618237,1.7973570474107978,-12.867797059153533,-10.287726972151269,16.220520535258462,15.735029316388934,6.4240807915262135,-7.535171277968939,20.47717989852326,15.281133515844925,12.867797059153533
6,10.623969256566376,-2.2147494167749104,6.306280197530439,9.134619526779925,-21.57052803911181,8.215269869217828,-4.700670899806522,-2.9268090337290626,-10.623969256566376,-2.1607276133517272,0.34710560347538255,-6.576503813049449,-4.002699339515652,0.9663127270558216,-0.8530383920238389,-7.613504525964709,2.2147494167749104,2.1607276133517272,4.834233708687174,-2.4528973918813124,-14.69784549241265,4.4091761986581774,-3.513485980006415,-5.847862048969562,-6.306280197530439,-0.34710560347538255,-4.834233708687174,-7.8148617242464145,-1.9825946333862592,0.5502409231919916,-3.0050413926288773,-4.024199151420763,-9.134619526779925,6.576503813049449,2.4528973918813124,7.8148617242464145,6.090000163475379,1.0277789164208713,0.38530538641974843,7.746665019984985,21.57052803911181,4.002699339515652,14.69784549241265,1.9825946333862592,-6.090000163475379,26.78682861719902,-3.8722758512169584,-5.327854880796334,-8.215269869217828,-0.9663127270558216,-4.4091761986581774,-0.5502409231919916,-1.0277789164208713,-26.78682861719902,-12.929714133338805,-16.122231486587378,4.700670899806522,0.8530383920238389,3.513485980006415,3.0050413926288773,-0.38530538641974843,3.8722758512169584,12.929714133338805,6.713680749632822,2.9268090337290626,7.613504525964709,5.847862048969562,4.024199151420763,-7.746665019984985,5.327854880796334,16.122231486587378,-6.713680749632822
7,6.29621303825951,5.619002654417472,4.249993385696571,5.9135711301620635,-12.841263335269364,19.995038255666422,-0.01744122875001608,8.862772324932958,-6.29621303825951,-0.5304496703142778,-0.10906735441091975,-11.561515435835556,-6.90545260057731,4.478886305584529,-2.4974700027871766,2.5695392244685795,-5.619002654417472,0.5304496703142778,-1.0129584221074284,-12.721186545909351,-11.189612321500285,-5.292286893732986,-9.3437400657172,1.7701983267580044,-4.249993385696571,0.10906735441091975,1.0129584221074284,-8.740867560530805,-7.425016024231099,-3.014671339685819,-7.59970010457466,1.9584315533537362,-5.9135711301620635,11.561515435835556,12.721186545909351,8.740867560530805,-6.856378422904931,-3.0270908005022408,-1.8469406728731173,19.3178712580453,12.841263335269364,6.90545260057731,11.189612321500285,7.425016024231099,6.856378422904931,-4.323597490557667,5.586876947545056,-2.5996244346169277,-19.995038255666422,-4.478886305584529,5.292286893732986,3.014671339685819,3.0270908005022408,4.323597490557667,-6.643576161803275,-3.1995305222985317,0.01744122875001608,2.4974700027871766,9.3437400657172,7.59970010457466,1.8469406728731173,-5.586876947545056,6.643576161803275,14.554740586260728,-8.862772324932958,-2.5695392244685795,-1.7701983267580044,-1.9584315533537362,-19.3178712580453,2.5996244346169277,3.1995305222985317,-14.554740586260728
8,1.3552550124397715,-1.6794905329503553,-2.141011220558993,0.6113264029589569,3.068677177367837,4.303451397328934,-16.154704659090388,-3.023577514590939,-1.3552550124397715,-1.7266332998404081,-6.028070761137928,1.0603284416354066,-8.135571220719731,-2.0400110608471596,-3.9340603355312442,-5.246556809036928,1.6794905329503553,1.7266332998404081,-4.411075204567469,3.2559066145427424,5.405747420782249,-0.23463812935345363,-16.024231446027606,-0.8737367157048723,2.141011220558993,6.028070761137928,4.411075204567469,5.320233528174812,7.217739157462268,-1.0109297268565003,-20.723709040750165,0.191774856766191,-0.6113264029589569,-1.0603284416354066,-3.2559066145427424,-5.320233528174812,-0.5520710980633368,-0.4339451816819393,-10.036599736899674,-1.8635413091472257,-3.068677177367837,8.135571220719731,-5.405747420782249,-7.217739157462268,0.5520710980633368,0.353577379626822,-18.00576916778246,-8.281907779766112,-4.303451397328934,2.0400110608471596,0.23463812935345363,1.0109297268565003,0.4339451816819393,-0.353577379626822,-19.703031143008886,3.243416754769161,16.154704659090388,3.9340603355312442,16.024231446027606,20.723709040750165,10.036599736899674,18.00576916778246,19.703031143008886,21.230786190831907,3.023577514590939,5.246556809036928,0.8737367157048723,-0.191774856766191,1.8635413091472257,8.281907779766112,-3.243416754769161,-21.230786190831907
9,-6.756073864864334,-2.30909162262642,-3.931369631957504,-5.215304695046575,-9.938733099137107,-5.878665982051807,-26.50746521241339,4.7063437966933375,6.756073864864334,4.617422833316058,-1.3743470841655618,0.34304165782830154,-8.187957963258867,4.308283776425553,-7.01534647562227,5.197837216124626,2.30909162262642,-4.617422833316058,-7.029018160429995,-5.579700520995368,-12.376719105808515,-3.2307451771190205,-17.18894400442283,0.564187935605029,3.931369631957504,1.3743470841655618,7.029018160429995,1.0062605838735585,-2.190135494546009,2.7422534199166453,-13.4576929309593,4.903710541114786,5.215304695046575,-0.34304165782830154,5.579700520995368,-1.0062605838735585,-8.29105837155093,-7.2188038394412315,-13.256433964641115,2.9780733968550286,9.938733099137107,8.187957963258867,12.376719105808515,2.190135494546009,8.29105837155093,29.07425177125882,10.373013502464817,14.32996743575649,5.878665982051807,-4.308283776425553,3.2307451771190205,-2.7422534199166453,7.2188038394412315,-29.07425177125882,-1.1860073370999586,14.222456340749682,26.50746521241339,7.01534647562227,17.18894400442283,13.4576929309593,13.256433964641115,-10.373013502464817,1.1860073370999586,25.098326908758366,-4.7063437966933375,-5.197837216124626,-0.564187935605029,-4.903710541114786,-2.9780733968550286,-14.32996743575649,-14.222456340749682,-25.098326908758366
