,dlog_SOLVPN,dlog_COPPER,dlog_GOLD,dlog_SILVER,dlog_DXY,dlog_OIL,dlog_GAS,d_UST10Y,d_VIX,d_PJM_LMP
dlog_SOLVPN,0.3851020799726411,0.06734323892920384,0.06327363745403822,0.07277309284399588,0.07042048888734995,0.04475749579592848,0.038432434600687154,0.06691261585111194,0.14949370286906183,0.04149121279598175
dlog_COPPER,0.07321494385464096,0.40571073572260213,0.07588088686635722,0.11225798581374657,0.07944063253799047,0.05263558921170562,0.039916896754005476,0.04519553345902845,0.06495938802559503,0.05078740775432762
dlog_GOLD,0.06966464600440393,0.06428302616202736,0.3573622767629223,0.19237309524127086,0.08767655818055059,0.035147488823901875,0.0392758266239522,0.06555223367115158,0.054149467292670415,0.034515381237149145
dlog_SILVER,0.06943014005615157,0.09584394148820409,0.17965887375368456,0.35503939992991684,0.08101077355182158,0.03978588712283433,0.03326849622227692,0.05403239451990605,0.054028114455843594,0.037901978899360624
dlog_DXY,0.07882227514383923,0.07087503625714131,0.08648721529367882,0.08315811302560763,0.38556436274311445,0.04453324470184457,0.05300395139899142,0.09471538983737252,0.06863244143216475,0.034207970166245126
dlog_OIL,0.07167022242088025,0.06178484617562425,0.04943859595087354,0.05974443673884813,0.0627565978041179,0.47538388898037914,0.05177054309744743,0.055657027531546235,0.06880251105789514,0.04299133024238719
dlog_GAS,0.054719146460890364,0.03939998663261688,0.04834367392042027,0.049688868621881474,0.06478374324716428,0.046366302821595484,0.531217100295022,0.0539209243633602,0.051230571871415595,0.06032968176563361
d_UST10Y,0.08669082933970056,0.04693908765672239,0.07310195743085791,0.06429791674203038,0.10851491965506593,0.04381033467907417,0.042542949585589976,0.41811887207859244,0.0741853937027028,0.04179773912966338
d_VIX,0.17033125572042226,0.0540050023764876,0.053248804166474824,0.05736089531531326,0.05376571483547941,0.05163095038790531,0.030093503561423245,0.06215423925918803,0.43504718132827136,0.03236245304903448
d_PJM_LMP,0.056854538580277905,0.03624270467908929,0.04908840678326827,0.051739573583841465,0.04546273486081605,0.04212250842888262,0.0824394721709505,0.05099743430248818,0.046181033339319576,0.5388715932710659
