Variable,TO_mean,FROM_mean,NET_mean
dlog_SOLVPN,73.1397997581207,61.489792002735896,11.650007755384806
dlog_COPPER,53.67168703571171,59.42892642773975,-5.7572393920280405
dlog_GOLD,67.85220516196539,64.26377232370778,3.588432838257603
dlog_SILVER,74.33939779265354,64.49606000700834,9.843337785645204
dlog_DXY,65.3832163560356,61.44356372568855,3.939652630347055
dlog_OIL,40.07898019736725,52.46161110196203,-12.382630904594777
dlog_GAS,41.07440740153243,46.87828997049782,-5.803882568965385
d_UST10Y,54.9137792795153,58.18811279214073,-3.274333512625425
d_VIX,63.1662624046669,56.49528186717285,6.670980537494053
d_PJM_LMP,37.638515503978304,46.11284067289339,-8.474325168915087
