,dlog_SOLVPN,dlog_COPPER,dlog_GOLD,dlog_SILVER,dlog_DXY,dlog_OIL,dlog_GAS,d_UST10Y,d_VIX,d_PJM_LMP
dlog_SOLVPN,0.0,0.5871704925437053,0.639100855036561,-0.33429527878443194,0.8401786256489266,2.691272662495183,1.6286711860203245,1.9778213488588636,2.083755285136044,1.536332578429613
dlog_COPPER,-0.5871704925437053,0.0,-1.15978607043298,-1.6414044325542418,-0.8565596280849179,0.9149256963918624,-0.05169101213886311,0.1743554197693909,-1.095438564910734,-1.4544703075238388
dlog_GOLD,-0.639100855036561,1.15978607043298,0.0,-1.2714221487586104,-0.11893428868717958,1.4291107126971703,0.9067847296468052,0.7549723759706444,-0.09006631261955854,1.4573025546119132
dlog_SILVER,0.33429527878443194,1.6414044325542418,1.2714221487586104,0.0,0.21473394737860635,1.9958549616013934,1.6420372399604561,1.0265522222124281,0.33327808594695896,1.3837594684480843
dlog_DXY,-0.8401786256489266,0.8565596280849179,0.11893428868717958,-0.21473394737860635,0.0,1.8223353102273272,1.1779791848172847,1.3799529817693226,-1.4866726596685407,1.1254764694570933
dlog_OIL,-2.691272662495183,-0.9149256963918624,-1.4291107126971703,-1.9958549616013934,-1.8223353102273272,0.0,-0.540424027585196,-1.1846692852472078,-1.7171560669989827,-0.0868821813504507
dlog_GAS,-1.6286711860203245,0.05169101213886311,-0.9067847296468052,-1.6420372399604561,-1.1779791848172847,0.540424027585196,0.0,-1.1377974777770201,-2.1137068309992473,2.210979040531694
d_UST10Y,-1.9778213488588636,-0.1743554197693909,-0.7549723759706444,-1.0265522222124281,-1.3799529817693226,1.1846692852472078,1.1377974777770201,0.0,-1.20311544435148,0.9199695172824738
d_VIX,-2.083755285136044,1.095438564910734,0.09006631261955854,-0.33327808594695896,1.4866726596685407,1.7171560669989827,2.1137068309992473,1.20311544435148,0.0,1.3818580290285067
d_PJM_LMP,-1.536332578429613,1.4544703075238388,-1.4573025546119132,-1.3837594684480843,-1.1254764694570933,0.0868821813504507,-2.210979040531694,-0.9199695172824738,-1.3818580290285067,0.0
