Date,Response,Shock,FEVD
2021-05-18,dlog_SOLVPN,dlog_SOLVPN,0.6800065458358142
2021-05-18,dlog_SOLVPN,dlog_COPPER,0.041303466181422034
2021-05-18,dlog_SOLVPN,dlog_DXY,0.06797660249668024
2021-05-18,dlog_SOLVPN,d_UST10Y,0.052669636816600696
2021-05-18,dlog_SOLVPN,dlog_VIX,0.15804374866948293
2021-05-18,dlog_COPPER,dlog_SOLVPN,0.02927168033014125
2021-05-18,dlog_COPPER,dlog_COPPER,0.681424689386376
2021-05-18,dlog_COPPER,dlog_DXY,0.21643784215887493
2021-05-18,dlog_COPPER,d_UST10Y,0.02201624661492527
2021-05-18,dlog_COPPER,dlog_VIX,0.050849541509682475
2021-05-18,dlog_DXY,dlog_SOLVPN,0.06804933213587902
2021-05-18,dlog_DXY,dlog_COPPER,0.1938685873186664
2021-05-18,dlog_DXY,dlog_DXY,0.6070581569567326
2021-05-18,dlog_DXY,d_UST10Y,0.05183717874623235
2021-05-18,dlog_DXY,dlog_VIX,0.07918674484248969
2021-05-18,d_UST10Y,dlog_SOLVPN,0.06411441955280224
2021-05-18,d_UST10Y,dlog_COPPER,0.02046868096965666
2021-05-18,d_UST10Y,dlog_DXY,0.023934311710330777
2021-05-18,d_UST10Y,d_UST10Y,0.8303116598110871
2021-05-18,d_UST10Y,dlog_VIX,0.061170927956123215
2021-05-18,dlog_VIX,dlog_SOLVPN,0.14804413579707412
2021-05-18,dlog_VIX,dlog_COPPER,0.07849763665558716
2021-05-18,dlog_VIX,dlog_DXY,0.10849552817286916
2021-05-18,dlog_VIX,d_UST10Y,0.03890854845968612
2021-05-18,dlog_VIX,dlog_VIX,0.6260541509147834
2021-05-19,dlog_SOLVPN,dlog_SOLVPN,0.6762362097410021
2021-05-19,dlog_SOLVPN,dlog_COPPER,0.04360658132137276
2021-05-19,dlog_SOLVPN,dlog_DXY,0.06932904888688912
2021-05-19,dlog_SOLVPN,d_UST10Y,0.05389611439154305
