horizon,response,impulse,lower,upper
0,dlog_SOLVPN,dlog_SOLVPN,1.0,1.0
0,dlog_SOLVPN,dlog_COPPER,0.0,0.0
0,dlog_SOLVPN,dlog_DXY,0.0,0.0
0,dlog_SOLVPN,d_UST10Y,0.0,0.0
0,dlog_SOLVPN,dlog_VIX,0.0,0.0
0,dlog_COPPER,dlog_SOLVPN,0.0,0.0
0,dlog_COPPER,dlog_COPPER,1.0,1.0
0,dlog_COPPER,dlog_DXY,0.0,0.0
0,dlog_COPPER,d_UST10Y,0.0,0.0
0,dlog_COPPER,dlog_VIX,0.0,0.0
0,dlog_DXY,dlog_SOLVPN,0.0,0.0
0,dlog_DXY,dlog_COPPER,0.0,0.0
0,dlog_DXY,dlog_DXY,1.0,1.0
0,dlog_DXY,d_UST10Y,0.0,0.0
0,dlog_DXY,dlog_VIX,0.0,0.0
0,d_UST10Y,dlog_SOLVPN,0.0,0.0
0,d_UST10Y,dlog_COPPER,0.0,0.0
0,d_UST10Y,dlog_DXY,0.0,0.0
0,d_UST10Y,d_UST10Y,1.0,1.0
0,d_UST10Y,dlog_VIX,0.0,0.0
0,dlog_VIX,dlog_SOLVPN,0.0,0.0
0,dlog_VIX,dlog_COPPER,0.0,0.0
0,dlog_VIX,dlog_DXY,0.0,0.0
0,dlog_VIX,d_UST10Y,0.0,0.0
0,dlog_VIX,dlog_VIX,1.0,1.0
1,dlog_SOLVPN,dlog_SOLVPN,-0.006229364094609483,0.12658899695734394
1,dlog_SOLVPN,dlog_COPPER,-0.04171687876540836,0.044479494891439375
1,dlog_SOLVPN,dlog_DXY,-0.17970853788598753,0.17869253228070228
1,dlog_SOLVPN,d_UST10Y,-0.025415198772039457,-0.0007125765338728829
1,dlog_SOLVPN,dlog_VIX,-0.02088907457610941,0.00013168542089891239
1,dlog_COPPER,dlog_SOLVPN,-0.054506805383791275,0.12817000030284686
1,dlog_COPPER,dlog_COPPER,-0.13141070398373242,-0.019001376758526933
1,dlog_COPPER,dlog_DXY,-0.40068512537522877,0.08585928722638127
1,dlog_COPPER,d_UST10Y,-0.02039699539936067,0.01328608671630286
1,dlog_COPPER,dlog_VIX,-0.0368493131546781,-0.009240586013118113
1,dlog_DXY,dlog_SOLVPN,-0.0395576612164177,0.0061911435525359906
1,dlog_DXY,dlog_COPPER,-0.011351602940157697,0.019748692541637858
1,dlog_DXY,dlog_DXY,-0.1092710910727266,0.00947798121255499
1,dlog_DXY,d_UST10Y,0.002782297610028883,0.011168451207545437
1,dlog_DXY,dlog_VIX,0.0004252099365816926,0.008052552900544463
1,d_UST10Y,dlog_SOLVPN,-0.5743516452666718,0.0987040254487522
1,d_UST10Y,dlog_COPPER,-0.12050480695709792,0.3315349539703587
1,d_UST10Y,dlog_DXY,-0.21992901258383418,1.5070944529678283
1,d_UST10Y,d_UST10Y,-0.09753886903299808,0.019527569866451856
1,d_UST10Y,dlog_VIX,-0.03123187240382863,0.07675736014085009
1,dlog_VIX,dlog_SOLVPN,-0.2312974971391621,0.5654731398035402
1,dlog_VIX,dlog_COPPER,-0.28075481553263676,0.22630626094274975
1,dlog_VIX,dlog_DXY,-1.5620499672696653,0.6186618018655963
1,dlog_VIX,d_UST10Y,-0.051713586560441754,0.08989497997856322
1,dlog_VIX,dlog_VIX,-0.11026521370235327,0.019305426497596534
2,dlog_SOLVPN,dlog_SOLVPN,-0.006631597343137508,0.019992480220295927
2,dlog_SOLVPN,dlog_COPPER,-0.006730800180278323,0.0028915158451590334
2,dlog_SOLVPN,dlog_DXY,-0.02748349726878443,0.015934279660443546
2,dlog_SOLVPN,d_UST10Y,-0.0022160540632363826,0.0010108237097185193
2,dlog_SOLVPN,dlog_VIX,-0.002157145200991762,0.0009338374861554604
2,dlog_COPPER,dlog_SOLVPN,-0.015413432689650777,0.014659558127320515
2,dlog_COPPER,dlog_COPPER,-0.003767988650508764,0.017726134328755076
2,dlog_COPPER,dlog_DXY,-0.01660345298143007,0.07547223049960268
2,dlog_COPPER,d_UST10Y,-0.005147775266016877,0.0015901012653713712
2,dlog_COPPER,dlog_VIX,-0.0013363084629762145,0.004772117123018033
2,dlog_DXY,dlog_SOLVPN,-0.005296815077406371,0.0030997003797377533
2,dlog_DXY,dlog_COPPER,-0.002490277956003496,0.0026333086767110657
2,dlog_DXY,dlog_DXY,-0.005526130515986886,0.01649013339434718
2,dlog_DXY,d_UST10Y,-0.0011845419956795292,0.00040417542561838526
2,dlog_DXY,dlog_VIX,-0.0009651085426708966,0.0005734237440059822
2,d_UST10Y,dlog_SOLVPN,-0.05305636175634451,0.03154762610787293
2,d_UST10Y,dlog_COPPER,-0.042884494463013435,0.01577025469301589
2,d_UST10Y,dlog_DXY,-0.23309193762713792,0.037959624505690036
2,d_UST10Y,d_UST10Y,7.063920665836502e-05,0.02053765536790526
2,d_UST10Y,dlog_VIX,-0.009356234009317534,0.009248731916121635
2,dlog_VIX,dlog_SOLVPN,-0.02979077038565389,0.04346571146506854
2,dlog_VIX,dlog_COPPER,-0.03704383845110022,0.047140003047991395
2,dlog_VIX,dlog_DXY,-0.11134002205211863,0.2596618901599791
2,dlog_VIX,d_UST10Y,-0.021951970248773593,0.00638903414219548
2,dlog_VIX,dlog_VIX,-0.011571095900509604,0.013811832691488909
3,dlog_SOLVPN,dlog_SOLVPN,-0.0007733967958343124,0.0029856447829266623
3,dlog_SOLVPN,dlog_COPPER,-0.0004138574080343717,0.0007104440813031826
3,dlog_SOLVPN,dlog_DXY,-0.002828820357751459,0.0032509516179484205
3,dlog_SOLVPN,d_UST10Y,-0.00040007357989326126,0.0001372611136502358
3,dlog_SOLVPN,dlog_VIX,-0.00020043925810682748,0.00017298239008135832
3,dlog_COPPER,dlog_SOLVPN,-0.0010006413364655549,0.002216463796329265
3,dlog_COPPER,dlog_COPPER,-0.0027155661821557926,0.0006374450978033523
3,dlog_COPPER,dlog_DXY,-0.013003241258633705,0.001466838664130316
3,dlog_COPPER,d_UST10Y,-0.00022347482989828438,0.0009239673119000993
3,dlog_COPPER,dlog_VIX,-0.000647376469631114,0.00031140864542147337
3,dlog_DXY,dlog_SOLVPN,-0.0006343492258482261,0.000244251927936576
3,dlog_DXY,dlog_COPPER,-0.0004157148409880205,0.0003120147263186206
3,dlog_DXY,dlog_DXY,-0.002365660727191974,0.0009233422277150894
3,dlog_DXY,d_UST10Y,-4.864121043618043e-05,0.0002094061595246498
3,dlog_DXY,dlog_VIX,-7.197483871953257e-05,0.00015088067252853337
3,d_UST10Y,dlog_SOLVPN,-0.00977432333605371,0.002681976546786315
3,d_UST10Y,dlog_COPPER,-0.002404865399488152,0.007201509814383421
