Date,dlog_SOLVPN,dlog_COPPER,dlog_DXY,d_UST10Y,dlog_VIX,Factor1,Factor2
2020-10-13,-0.004901995,-0.006384568,0.004629241,-0.035,0.039113316,-0.9568597943441208,-0.43383879232868755
2020-10-14,-0.013363814,0.001968828,-0.001819136,-0.002,0.012578782,-0.4421180880489629,-0.4778133457038865
2020-10-15,-0.000539916,0.011408207,0.005319673,0.012,0.021361127,-0.5278101467864744,0.5197071430120738
2020-10-16,0.004899479,-0.005850821,-0.001972882,0.01,0.016182773,0.1377430026433361,-0.20610375314684118
2020-10-19,-0.005042147,0.006012856,-0.002672255,0.023,0.062575633,-0.2958560880796601,-0.46009754745783077
2020-10-20,0.001252744,0.019891577,-0.00405406,0.014,0.005809003,0.8482765832673945,-0.08879470844086398
2020-10-21,-0.000468322,0.015914619,-0.004869387,0.035,-0.024139103,0.8460609241082012,0.23196580103275713
2020-10-22,-0.014824205,-0.014169003,0.003933979,0.04,-0.019028058,-1.516209228699778,0.5819343098814459
2020-10-23,0.000867796,-0.007799482,-0.002142908,-0.02,-0.020122849,0.28638712465185046,-0.3929532734338379
2020-10-26,-0.002905942,-0.012704199,0.003003086,-0.038,0.164006026,-1.5763912512985847,-1.5073732044649353
2020-10-27,-0.006577228,0.00129387,-0.001258261,-0.032,0.02704921,-0.1581197422138408,-0.7953802033073529
2020-10-28,-0.023030976,-0.009581884,0.005173462,0.003,0.188797295,-2.9874863498487496,-1.2408258073226555
2020-10-29,-0.000789721,-0.001306336,0.006062371,0.057,-0.06911701,-0.5865752994921241,1.618904150890111
2020-10-30,-0.015200297,-0.002781643,0.00069142,0.043,0.011374279,-1.1114918254233797,0.2150940179568811
2020-11-02,0.009611776,0.009620947,0.001094656,-0.022,-0.023687069,0.7743572170764638,0.17147349328793848
2020-11-03,0.014251921,0.004048916,-0.006233205,0.044,-0.043485112,1.4526562348169003,0.43509881207356194
2020-11-04,0.024485557,0.005158806,-0.00159383,-0.125,-0.184179822,3.077682625573971,-0.012582731362778262
2020-11-05,0.01582065,0.001285554,-0.009627509,-0.005,-0.069669461,2.2111608201769206,-0.2665044731738436
2020-11-06,0.010386263,0.013874714,-0.003150359,0.054,-0.103830786,1.4928743953341654,1.2828960978267714
2020-11-09,-0.031072901,0.000791578,0.005299028,0.104,0.035174541,-2.670253939110193,1.0011707118678672
2020-11-10,-0.025851773,0.0,0.000226475,0.036,-0.037590974,-1.1503891286329069,0.3141409960434085
2020-11-11,0.028008152,-0.006987483,0.003100778,0.017,-0.055973158,1.0090328606588226,1.1225560234853675
2020-11-12,0.002575335,0.003341026,-0.000731261,-0.094,0.077908235,0.23205741092630372,-1.6859135117037378
2020-11-13,0.0097651,0.010271087,-0.002218561,0.015,-0.092946113,1.396573668234275,0.7937122286100926
2020-11-16,-0.005477274,0.013894533,-0.001294638,0.013,-0.028542003,0.31594375714556583,0.24063611082320444
